case_id,activity,resource,start_time,end_time
1,Receive,agent_3,2021-01-20 18:00:00+0000,2021-01-20 18:00:00+0000
1,Review,agent_2,2021-01-20 18:15:00+0000,2021-01-20 18:15:00+0000
1,Decide,agent_3,2021-01-20 20:30:00+0000,2021-01-20 20:30:00+0000
1,Notify,agent_2,2021-01-20 22:18:00+0000,2021-01-20 22:18:00+0000
2,Receive,agent_1,2021-01-19 14:00:00+0000,2021-01-19 14:00:00+0000
2,Review,agent_1,2021-01-19 16:14:00+0000,2021-01-19 16:14:00+0000
2,Decide,agent_1,2021-01-19 17:31:00+0000,2021-01-19 17:31:00+0000
2,Notify,agent_2,2021-01-19 18:00:00+0000,2021-01-19 18:00:00+0000
3,Receive,agent_2,2021-01-10 14:00:00+0000,2021-01-10 14:00:00+0000
3,Review,agent_0,2021-01-10 14:30:00+0000,2021-01-10 14:30:00+0000
3,Decide,agent_2,2021-01-10 17:30:00+0000,2021-01-10 17:30:00+0000
3,Notify,agent_0,2021-01-10 19:35:00+0000,2021-01-10 19:35:00+0000
4,Receive,agent_2,2021-01-22 20:00:00+0000,2021-01-22 20:00:00+0000
4,Review,agent_1,2021-01-22 22:41:00+0000,2021-01-22 22:41:00+0000
4,Decide,agent_3,2021-01-23 01:07:00+0000,2021-01-23 01:07:00+0000
4,Notify,agent_2,2021-01-23 03:05:00+0000,2021-01-23 03:05:00+0000
5,Receive,agent_0,2021-01-27 17:00:00+0000,2021-01-27 17:00:00+0000
5,Review,agent_3,2021-01-27 17:28:00+0000,2021-01-27 17:28:00+0000
5,Decide,agent_0,2021-01-27 20:24:00+0000,2021-01-27 20:24:00+0000
5,Notify,agent_3,2021-01-27 23:05:00+0000,2021-01-27 23:05:00+0000
6,Receive,agent_2,2021-01-14 17:00:00+0000,2021-01-14 17:00:00+0000
6,Review,agent_1,2021-01-14 17:21:00+0000,2021-01-14 17:21:00+0000
6,Decide,agent_1,2021-01-14 19:51:00+0000,2021-01-14 19:51:00+0000
6,Notify,agent_1,2021-01-14 20:57:00+0000,2021-01-14 20:57:00+0000
7,Receive,agent_0,2021-01-23 10:00:00+0000,2021-01-23 10:00:00+0000
7,Review,agent_2,2021-01-23 10:25:00+0000,2021-01-23 10:25:00+0000
7,Decide,agent_3,2021-01-23 12:40:00+0000,2021-01-23 12:40:00+0000
7,Notify,agent_2,2021-01-23 13:12:00+0000,2021-01-23 13:12:00+0000
8,Receive,agent_0,2021-01-16 18:00:00+0000,2021-01-16 18:00:00+0000
8,Review,agent_2,2021-01-16 20:25:00+0000,2021-01-16 20:25:00+0000
8,Decide,agent_1,2021-01-16 22:48:00+0000,2021-01-16 22:48:00+0000
8,Notify,agent_2,2021-01-17 01:27:00+0000,2021-01-17 01:27:00+0000
9,Receive,agent_3,2021-01-08 05:00:00+0000,2021-01-08 05:00:00+0000
9,Review,agent_1,2021-01-08 06:26:00+0000,2021-01-08 06:26:00+0000
9,Decide,agent_1,2021-01-08 07:45:00+0000,2021-01-08 07:45:00+0000
9,Notify,agent_1,2021-01-08 08:38:00+0000,2021-01-08 08:38:00+0000
10,Receive,agent_3,2021-01-15 10:00:00+0000,2021-01-15 10:00:00+0000
10,Review,agent_0,2021-01-15 10:22:00+0000,2021-01-15 10:22:00+0000
10,Decide,agent_1,2021-01-15 13:20:00+0000,2021-01-15 13:20:00+0000
10,Notify,agent_0,2021-01-15 14:03:00+0000,2021-01-15 14:03:00+0000
11,Receive,agent_3,2021-01-27 09:00:00+0000,2021-01-27 09:00:00+0000
11,Review,agent_2,2021-01-27 11:19:00+0000,2021-01-27 11:19:00+0000
11,Decide,agent_1,2021-01-27 13:37:00+0000,2021-01-27 13:37:00+0000
11,Notify,agent_3,2021-01-27 14:37:00+0000,2021-01-27 14:37:00+0000
12,Receive,agent_3,2021-01-16 01:00:00+0000,2021-01-16 01:00:00+0000
12,Review,agent_2,2021-01-16 03:11:00+0000,2021-01-16 03:11:00+0000
12,Decide,agent_2,2021-01-16 03:37:00+0000,2021-01-16 03:37:00+0000
12,Notify,agent_0,2021-01-16 06:18:00+0000,2021-01-16 06:18:00+0000
13,Receive,agent_1,2021-01-18 15:00:00+0000,2021-01-18 15:00:00+0000
13,Review,agent_0,2021-01-18 16:07:00+0000,2021-01-18 16:07:00+0000
13,Decide,agent_0,2021-01-18 17:21:00+0000,2021-01-18 17:21:00+0000
13,Notify,agent_2,2021-01-18 18:22:00+0000,2021-01-18 18:22:00+0000
14,Receive,agent_3,2021-01-18 12:00:00+0000,2021-01-18 12:00:00+0000
14,Review,agent_0,2021-01-18 12:20:00+0000,2021-01-18 12:20:00+0000
14,Decide,agent_1,2021-01-18 13:02:00+0000,2021-01-18 13:02:00+0000
14,Notify,agent_0,2021-01-18 13:18:00+0000,2021-01-18 13:18:00+0000
