case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,2,Assign seriousness,2012-08-30 12:52:54+00:00,2012-08-30 12:52:54+00:00,0,Value 11
0,2,Take in charge ticket,2012-08-30 12:52:54+00:00,2012-08-30 12:52:54+00:00,1,Value 11
0,2,Resolve ticket,2012-08-30 12:52:54+00:00,2012-08-30 12:52:54+00:00,2,Value 11
0,5,Closed,2012-08-30 12:52:54+00:00,2012-08-30 12:52:54+00:00,3,Value 5
1,2,Assign seriousness,2012-08-30 12:57:24.679256883+00:00,2012-08-30 12:57:24.679256883+00:00,4,Value 11
1,2,Take in charge ticket,2012-08-30 12:57:24.679256883+00:00,2012-08-30 12:57:24.679256883+00:00,5,Value 11
1,2,Resolve ticket,2012-08-30 12:57:24.679256883+00:00,2012-08-30 12:57:24.679256883+00:00,6,Value 11
1,5,Closed,2012-08-30 12:57:24.679256883+00:00,2012-08-30 12:57:24.679256883+00:00,7,Value 5
2,2,Assign seriousness,2012-08-30 12:59:40.771820337+00:00,2012-08-30 12:59:40.771820337+00:00,8,Value 11
2,2,Take in charge ticket,2012-08-30 12:59:40.771820337+00:00,2012-08-30 12:59:40.771820337+00:00,9,Value 11
2,2,Resolve ticket,2012-08-30 12:59:40.771820337+00:00,2012-08-30 12:59:40.771820337+00:00,10,Value 11
2,5,Closed,2012-08-30 12:59:40.771820337+00:00,2012-08-30 12:59:40.771820337+00:00,11,Value 5
3,2,Assign seriousness,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,12,Value 11
3,2,Take in charge ticket,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,13,Value 11
3,2,Wait,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,14,Value 11
3,0,Take in charge ticket,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,15,Value 2
3,0,Wait,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,16,Value 2
3,0,Take in charge ticket,2012-08-30 13:19:04.252814604+00:00,2012-08-30 13:19:04.252814604+00:00,17,Value 2
