case_id,activity_name,resource,start_timestamp,end_timestamp,agent
2,Assign seriousness,Value 2,2010-02-10 06:50:20+00:00,2010-02-10 06:50:20+00:00,0
2,Take in charge ticket,Value 2,2010-03-19 06:47:06+00:00,2010-03-19 06:47:06+00:00,0
2,Resolve ticket,Value 2,2010-03-19 06:47:13+00:00,2010-03-19 06:47:13+00:00,0
2,Closed,Value 5,2010-04-03 04:47:38+00:00,2010-04-03 04:47:38+00:00,5
4,Assign seriousness,Value 2,2010-01-21 06:53:28+00:00,2010-01-21 06:53:28+00:00,0
4,Assign seriousness,Value 2,2010-01-21 06:53:34+00:00,2010-01-21 06:53:34+00:00,0
4,Take in charge ticket,Value 2,2010-01-21 06:53:40+00:00,2010-01-21 06:53:40+00:00,0
4,Resolve ticket,Value 2,2010-01-26 12:06:53+00:00,2010-01-26 12:06:53+00:00,0
4,Closed,Value 5,2010-03-06 07:00:57+00:00,2010-03-06 07:00:57+00:00,5
6,Assign seriousness,Value 19,2010-08-25 07:36:10+00:00,2010-08-25 07:36:10+00:00,10
6,Take in charge ticket,Value 2,2010-08-27 04:34:45+00:00,2010-08-27 04:34:45+00:00,0
6,Resolve ticket,Value 2,2010-08-27 05:42:25+00:00,2010-08-27 05:42:25+00:00,0
6,Closed,Value 5,2010-09-25 07:40:32+00:00,2010-09-25 07:40:32+00:00,5
7,Assign seriousness,Value 8,2010-12-23 09:23:52+00:00,2010-12-23 09:23:52+00:00,14
7,Take in charge ticket,Value 2,2011-01-11 05:55:50+00:00,2011-01-11 05:55:50+00:00,0
7,Resolve ticket,Value 2,2011-01-20 08:59:03+00:00,2011-01-20 08:59:03+00:00,0
7,Closed,Value 5,2011-02-04 08:59:20+00:00,2011-02-04 08:59:20+00:00,5
8,Assign seriousness,Value 1,2011-09-21 04:09:20+00:00,2011-09-21 04:09:20+00:00,17
8,Take in charge ticket,Value 9,2011-09-26 05:52:05+00:00,2011-09-26 05:52:05+00:00,11
8,Resolve ticket,Value 9,2011-09-27 07:29:02+00:00,2011-09-27 07:29:02+00:00,11
8,Closed,Value 5,2011-10-22 04:10:49+00:00,2011-10-22 04:10:49+00:00,5
9,Assign seriousness,Value 8,2010-12-22 06:35:14+00:00,2010-12-22 06:35:14+00:00,14
9,Take in charge ticket,Value 2,2010-12-22 06:49:10+00:00,2010-12-22 06:49:10+00:00,0
9,Resolve ticket,Value 2,2011-01-13 12:26:36+00:00,2011-01-13 12:26:36+00:00,0
9,Closed,Value 5,2011-02-18 06:40:43+00:00,2011-02-18 06:40:43+00:00,5
10,Assign seriousness,Value 2,2010-01-22 09:09:40+00:00,2010-01-22 09:09:40+00:00,0
10,Take in charge ticket,Value 2,2010-01-22 09:09:51+00:00,2010-01-22 09:09:51+00:00,0
10,Resolve ticket,Value 2,2010-01-22 09:09:59+00:00,2010-01-22 09:09:59+00:00,0
10,Closed,Value 5,2010-03-11 09:10:33+00:00,2010-03-11 09:10:33+00:00,5
12,Assign seriousness,Value 4,2011-10-25 11:35:19+00:00,2011-10-25 11:35:19+00:00,18
12,Take in charge ticket,Value 16,2011-10-26 04:19:46+00:00,2011-10-26 04:19:46+00:00,3
12,Resolve ticket,Value 16,2011-11-03 07:37:15+00:00,2011-11-03 07:37:15+00:00,3
12,Closed,Value 5,2011-12-08 13:40:25+00:00,2011-12-08 13:40:25+00:00,5
13,Assign seriousness,Value 1,2012-05-18 09:11:25+00:00,2012-05-18 09:11:25+00:00,17
13,Take in charge ticket,Value 9,2012-05-18 11:23:17+00:00,2012-05-18 11:23:17+00:00,11
13,Wait,Value 9,2012-05-18 12:07:29+00:00,2012-05-18 12:07:29+00:00,11
13,Resolve ticket,Value 9,2012-05-22 04:53:06+00:00,2012-05-22 04:53:06+00:00,11
13,Closed,Value 5,2012-06-28 11:10:31+00:00,2012-06-28 11:10:31+00:00,5
14,Insert ticket,Value 15,2010-06-18 10:47:15+00:00,2010-06-18 10:47:15+00:00,1
14,Assign seriousness,Value 15,2010-06-18 11:18:15+00:00,2010-06-18 11:18:15+00:00,1
